order,trial_index,time_elapsed,cwid,StartTime,EndTime,rt,word_pair,answer,SHに基づく得点,SH：補足,PickedSample,Classification_ksm,Classification_oka,ageement,CR_ksm,CR_oka,FinalRating,Note_ksm,Note_oka
1,2,33223,275026,44928.9242,44928.92715,15459,鳥 - 飛行機,とぶもの,2,NA,1,2,2,1,,,2,,NA
2,3,41046,275026,44928.9242,44928.92715,7810,剣 - 拳銃,攻撃するもの,1,攻撃するという共通点だけ,0,,1,,,,1,,
3,4,50740,275026,44928.9242,44928.92715,9687,みかん - ボール,球状,2,球状は球形の同義語,0,,2,,,,2,,
4,5,55109,275026,44928.9242,44928.92715,4346,太陽 - 電球,光る,2,NA,0,,2,,,,2,,
5,6,60701,275026,44928.9242,44928.92715,5565,紙 - 葉っぱ,平たい,1,平たいシートである点がポイント、平たいは低次の共通点,0,,1,,,,1,,
6,7,65540,275026,44928.9242,44928.92715,4829,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
7,8,74871,275026,44928.9242,44928.92715,9321,道 - 川,筋になっている,1,KHにない,0,,1,,,,1,,
8,9,84726,275026,44928.9242,44928.92715,9848,愛 - 薬物,夢中になる,2,"2点とした（1→2, v3）",0,,2,,,,2,,
9,10,92492,275026,44928.9242,44928.92715,7753,山 - 障害物,困難さ,1,SHにない(難しさ),0,,1,,,,1,,
10,11,107625,275026,44928.9242,44928.92715,15121,輪っか - ネックレス,和状,0,誤字はバツ,1,2,0,0,0,0,0,,誤字はバツ（明らかに間違った回答）
11,12,114629,275026,44928.9242,44928.92715,6980,孤独 - 砂漠,何もない,2,空虚だの同義; SHにない,0,,2,,,,2,,
12,13,128592,275026,44928.9242,44928.92715,13953,なぞなぞ - 迷宮,わからないこと,2,解決できないと同義,0,,2,,,,2,,
13,14,133310,275026,44928.9242,44928.92715,4703,時間 - 川,流れる,2,NA,0,,2,,,,2,,
14,15,143254,275026,44928.9242,44928.92715,9931,会社 - 木,ツリー構造,0,木を言い換えているだけか,0,,0,,,,0,,
15,16,153038,275026,44928.9242,44928.92715,9774,酒場 - 教会,人が集まる,2,NA,0,,2,,,,2,,
16,17,157492,275026,44928.9242,44928.92715,4446,理論 - 建物,構築する,2,構築されなければならないと同義か,0,,2,,,,2,,
17,18,163942,275026,44928.9242,44928.92715,6437,ダイヤモンド - 雪片,輝く,1,きらめくと同義,0,,1,,,,1,,
